# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	3843
#@/user_id	b176f87b-293e-4035-b0c9-fd7cf4777bf9
a 	啊	c=5 d=0.603844 t=3843
di zhi 	地址	c=1 d=0.00101791 t=3843
di zhi 	帝制	c=1 d=0.343009 t=3843
di zhong hai 	地中海	c=1 d=0.50409 t=3843
dian 	電	c=1 d=0.0369772 t=3843
dian 	點	c=10 d=0.146445 t=3843
dian chi 	電池	c=1 d=0.000297529 t=3843
dian jia 	店家	c=1 d=0.1764 t=3843
dian jie zhi 	電接枝	c=2 d=1.79852 t=3690
dian jie zhi 	電解質	c=0 d=0.1 t=3561
dian jin qu 	點進去	c=2 d=0.000717888 t=3843
dian le 	點了	c=1 d=0.000426457 t=3843
dian yi xia 	點一下	c=1 d=0.00286554 t=3843
dian zhen 	點陣	c=2 d=0.93068 t=3843
diao le 	掉了	c=1 d=0.131336 t=3843
diao yong 	調用	c=1 d=1.93078e-05 t=3843
die dai 	迭代	c=1 d=1 t=3762
ding 	定	c=1 d=1 t=3721
ding yue 	訂閱	c=1 d=0.000788798 t=3843
ding zhi 	定製	c=1 d=0.798516 t=3843
dong hua 	動畫	c=1 d=0.416862 t=3843
dong xi 	東西	c=6 d=0.642901 t=3843
dou 	都	c=13 d=1.30177 t=3843
dou dou 	豆豆	c=0 d=0.0941765 t=3843
dou dou bo ke 	豆豆博客	c=1 d=0.946485 t=3843
dou shi 	都是	c=2 d=0.150416 t=3843
du 	度	c=1 d=0.331211 t=3843
du shu 	讀書	c=2 d=0.95424 t=3843
duan 	斷	c=1 d=0.0420036 t=3843
duan 	段	c=1 d=0.0461896 t=3843
duan 	短	c=1 d=0.0464212 t=3843
dui 	對	c=7 d=0.052768 t=3843
dui ying 	對應	c=2 d=0.330615 t=3843
dui yu 	對於	c=2 d=0.136698 t=3843
duo 	多	c=3 d=0.0457081 t=3843
duo shao 	多少	c=1 d=6.12835e-05 t=3843
duo xi 	多系	c=2 d=0.626478 t=3843
duo xie 	多謝	c=1 d=0.618783 t=3843
en 	嗯	c=17 d=2.36078 t=3843
en 	恩	c=1 d=2.90934e-05 t=3843
er 	二	c=3 d=2.98506 t=3765
er 	兒	c=2 d=0.186389 t=3843
er 	而	c=2 d=0.187323 t=3843
er bu shi 	而不是	c=3 d=0.011359 t=3843
er qie 	而且	c=1 d=0.0987662 t=3843
er zi 	兒子	c=1 d=0.357007 t=3843
fa 	發	c=6 d=0.0971467 t=3843
fa dou 	發抖	c=1 d=0.0997588 t=3843
fa ge 	發個	c=3 d=0.164183 t=3843
fa guo 	法國	c=2 d=0.596425 t=3843
fa guo qu 	發過去	c=1 d=0.0761538 t=3843
fa le 	發了	c=0 d=0.000106477 t=3843
fa le yi ge 	發了一個	c=1 d=0.0010701 t=3843
fa you 	髮油	c=1 d=0.99005 t=3843
fa zhan 	發展	c=1 d=0.774916 t=3843
fan dao 	反倒	c=1 d=0.231078 t=3843
fan di gang 	梵蒂岡	c=1 d=0.748264 t=3843
fan jian 	繁簡	c=3 d=2.83072 t=3843
fan ren lei 	反人類	c=1 d=0.618783 t=3843
fan she hui 	反社會	c=1 d=0.621885 t=3843
fan ti 	繁體	c=1 d=0.082085 t=3843
fan yi 	翻譯	c=7 d=2.04541 t=3843
fan ying 	反應	c=18 d=5.09237 t=3843
fan ying wu 	反應物	c=1 d=1 t=3626
fang bian 	方便	c=1 d=0.000728153 t=3843
fang dao 	放到	c=1 d=0.00425356 t=3843
fang fa 	方法	c=4 d=0.597021 t=3843
fang shi 	方式	c=1 d=1.91157e-05 t=3843
fang xiang 	方向	c=3 d=0.819329 t=3843
